user_id,session_id,timestamp,action,product_id,product_name,category,price_usd,size_selected,color_selected,payment_method,device,location,search_query
181,sess_2824,2025-08-02T03:19:00,purchase,MSH033,"Surge Short 6""",Men > Shorts,68.0,S,White,Credit Card,iOS,"Connieborough, Cook Islands",
175,sess_7912,2025-08-02T10:42:00,view_product,WSB021,Energy Bra Long Line,Women > Bras,58.0,S,White,,iOS,"Diazshire, Vietnam",
171,sess_4257,2025-08-30T13:50:00,search,,,,,,,,iOS,"Grahambury, Barbados",grow
157,sess_5557,2025-08-01T07:05:00,add_to_cart,MHD099,City Sweat Pullover Hoodie,Men > Hoodies,108.0,M,Navy,,iOS,"Jonathanmouth, Guinea-Bissau",
127,sess_6514,2025-08-05T15:38:00,view_product,MHD099,City Sweat Pullover Hoodie,Men > Hoodies,108.0,XS,Navy,,Android,"South Keith, Lithuania",
177,sess_5333,2025-08-02T23:27:00,search,,,,,,,,iOS,"East Amandamouth, Wallis and Futuna",go
148,sess_2291,2025-08-26T02:58:00,purchase,JCK070,Define Jacket,Women > Jackets,118.0,XL,White,Credit Card,iOS,"New Christyberg, Qatar",
184,sess_4733,2025-08-14T04:05:00,view_product,MSH033,"Surge Short 6""",Men > Shorts,68.0,XS,Grey,,Android,"New Melissamouth, Swaziland",
158,sess_6977,2025-08-08T09:39:00,purchase,JCK070,Define Jacket,Women > Jackets,118.0,S,,PayPal,iOS,"Port Gilbertstad, Congo",
177,sess_3803,2025-08-25T07:25:00,add_to_cart,MTS011,Metal Vent Tech Short Sleeve Shirt,Men > Tops,78.0,L,Grey,,Android,"Davidburgh, Finland",
181,sess_4598,2025-08-15T18:12:00,view_product,MSH033,"Surge Short 6""",Men > Shorts,68.0,XS,Navy,,Android,"North Kenneth, Bahamas",
134,sess_2084,2025-08-10T14:26:00,purchase,MSH033,"Surge Short 6""",Men > Shorts,68.0,,Grey,Google Pay,Android,"Port John, Comoros",
118,sess_5339,2025-08-07T08:30:00,add_to_cart,ACC050,Everywhere Belt Bag,Accessories,38.0,,Green,,Android,"Deanside, Pitcairn Islands",
174,sess_7543,2025-08-17T11:23:00,add_to_cart,MTS011,Metal Vent Tech Short Sleeve Shirt,Men > Tops,78.0,XL,Grey,,iOS,"West Julie, Guyana",
196,sess_1771,2025-08-05T23:45:00,add_to_cart,MTS011,Metal Vent Tech Short Sleeve Shirt,Men > Tops,78.0,,Grey,,iOS,"Huynhborough, Taiwan",
149,sess_7252,2025-08-28T02:52:00,search,,,,,,,,Android,"Watsonport, Grenada",really
170,sess_1188,2025-08-06T05:07:00,purchase,JCK070,Define Jacket,Women > Jackets,118.0,XS,Navy,Google Pay,iOS,"New Courtney, Uzbekistan",
